17131312511
0, 18, 12, 0, 3, 3, 2
1, 13, 17, 2, 2, 1, 1
2, 8, 22, 3, 0, 1, 2
3, 10, 20, 4, 0, 3, 2
4, 20, 10, 1, 2, 1, 2
5, 18, 12, 2, 2, 1, 2
6, 12, 18, 2, 1, 2, 2
7, 18, 12, 1, 1, 1, 2
8, 9, 21, 4, 0, 3, 2
9, 12, 18, 4, 0, 3, 2
10, 15, 15, 4, 0, 3, 1
11, 18, 12, 3, 0, 3, 2
12, 17, 13, 4, 0, 3, 2
13, 20, 10, 1, 2, 2, 1
14, 17, 13, 1, 1, 1, 2
15, 12, 18, 4, 2, 0, 2
16, 12, 18, 1, 2, 2, 1
17, 12, 18, 3, 0, 3, 1
18, 18, 12, 3, 0, 3, 2
19, 13, 17, 3, 2, 0, 2
20, 20, 10, 2, 2, 2, 1
21, 19, 11, 4, 1, 0, 2
22, 17, 13, 4, 2, 0, 2
23, 14, 16, 3, 2, 0, 1
24, 12, 18, 4, 1, 0, 1
25, 10, 20, 3, 1, 0, 1
26, 18, 12, 3, 2, 0, 2
27, 19, 11, 4, 2, 2, 1
28, 20, 10, 3, 1, 0, 1
29, 21, 9, 3, 1, 0, 1
30, 21, 9, 3, 2, 0, 1
31, 18, 12, 4, 2, 2, 2
