17131312152,,,,,,
0,14,16,5,0,0,1
1,15,15,4,1,3,1
2,18,12,1,3,2,1
3,19,11,4,2,3,1
4,21,9,3,1,2,1
5,25,5,5,0,1,0
6,13,17,4,2,3,8
7,14,16,6,0,2,1
8,17,13,4,1,3,1
9,13,17,1,3,2,1
10,24,6,4,1,0,0
11,19,11,1,3,1,1
12,23,7,6,0,1,8
13,13,17,3,2,0,8
14,14,16,3,1,0,1
15,15,15,3,1,0,1
16,20,10,1,3,2,1
17,20,10,5,0,2,8
18,19,11,3,1,0,0
19,18,12,6,0,1,0
20,22,8,2,3,2,1
21,18,12,4,2,1,1
22,17,13,5,0,1,1
23,14,16,4,1,2,1
24,19,11,3,2,0,0
25,13,17,2,3,3,1
26,20,10,5,0,1,1
27,21,9,1,3,3,1
28,20,10,3,2,0,0
29,18,12,1,3,3,8
30,20,10,5,0,1,8
31,14,16,4,1,2,1
