17216708312
0, 18, 12, 2, 2, 3, 8, 2, 514
1, 14, 16, 4, 1, 2, 0, 2, 513
2, 19, 11, 1, 3, 0, 1, 3, 511
3, 12, 18, 3, 2, 2, 8, 3, 514
4, 13, 17, 4, 1, 2, 8, 2, 514
5, 19, 11, 3, 1, 2, 8, 1, 511
6, 13, 17, 2, 3, 0, 8, 2, 514
7, 20, 10, 6, 0, 0, 0, 1, 511
8, 21, 9, 2, 3, 0, 1, 3, 513
9, 14, 16, 5, 0, 0, 0, 3, 512
10, 21, 9, 5, 0, 0, 0, 2, 513
11, 13, 17, 5, 0, 0, 0, 3, 514
12, 22, 8, 5, 0, 0, 8, 1, 514
13, 20, 10, 5, 0, 0, 0, 2, 513
14, 13, 17, 1, 3, 2, 8, 3, 514
15, 25, 5, 6, 0, 2, 8, 1, 513
16, 23, 7, 5, 0, 0, 8, 1, 513
17, 13, 17, 1, 3, 1, 8, 2, 513
18, 22, 8, 3, 2, 3, 0, 1, 513
19, 21, 9, 4, 2, 3, 0, 1, 511
20, 23, 7, 2, 3, 1, 0, 1, 514
21, 21, 9, 4, 1, 3, 0, 2, 514
22, 21, 9, 5, 0, 2, 0, 3, 514
23, 26, 4, 3, 2, 3, 8, 1, 513
24, 25, 5, 2, 3, 1, 0, 2, 514
25, 18, 12, 4, 2, 0, 0, 2, 513
26, 18, 12, 5, 0, 2, 1, 3, 514
27, 18, 12, 5, 0, 2, 0, 2, 514
28, 25, 5, 1, 3, 1, 0, 1, 511
29, 21, 9, 4, 2, 0, 8, 2, 514
30, 18, 12, 5, 0, 2, 0, 2, 513
31, 23, 7, 1, 3, 1, 0, 3, 514
