17131311431
0, 17, 13, 3, 1, 0, 1
1, 18, 12, 3, 1, 0, 1
2, 15, 15, 4, 2, 0, 1
3, 18, 12, 1, 1, 3, 2
4, 16, 14, 3, 1, 0, 1
5, 16, 14, 3, 1, 0, 1
6, 11, 19, 3, 2, 0, 1
7, 17, 13, 4, 2, 2, 2
8, 18, 12, 1, 2, 3, 2
9, 18, 12, 1, 2, 3, 1
10, 18, 12, 1, 1, 3, 2
11, 16, 14, 1, 3, 0, 2
12, 20, 10, 1, 2, 3, 1
13, 18, 12, 4, 1, 1, 2
14, 24, 6, 2, 1, 3, 1
15, 15, 15, 2, 3, 0, 1
16, 18, 12, 2, 2, 3, 1
17, 17, 13, 2, 2, 3, 2
18, 16, 14, 4, 2, 2, 1
19, 18, 12, 4, 2, 1, 2
20, 17, 13, 1, 3, 0, 1
21, 16, 14, 3, 1, 1, 1
22, 19, 11, 3, 2, 2, 1
23, 21, 9, 5, 0, 0, 2
24, 21, 9, 2, 3, 0, 1
25, 16, 14, 4, 1, 2, 2
26, 15, 15, 2, 3, 0, 1
27, 13, 17, 3, 2, 1, 1
28, 10, 20, 4, 1, 2, 1
29, 15, 15, 4, 1, 2, 1
30, 15, 15, 2, 3, 0, 1
31, 19, 11, 1, 3, 2, 2
