17131307311
0, 14, 16, 6, 0, 0, 0, 3, 514
1, 13, 17, 5, 0, 0, 1, 4, 512
2, 11, 19, 1, 3, 2, 0, 4, 514
3, 12, 18, 2, 3, 2, 8, 4, 514
4, 20, 10, 6, 0, 0, 0, 1, 514
5, 19, 11, 3, 1, 2, 0, 1, 514
6, 10, 20, 1, 3, 2, 0, 4, 514
7, 23, 7, 2, 3, 2, 0, 1, 513
8, 22, 8, 3, 1, 2, 0, 1, 512
9, 21, 9, 1, 3, 1, 0, 1, 514
10, 14, 16, 3, 2, 1, 8, 3, 514
11, 22, 8, 6, 0, 2, 1, 4, 512
12, 20, 10, 1, 3, 1, 0, 3, 512
13, 22, 8, 2, 3, 1, 1, 3, 514
14, 22, 8, 2, 3, 2, 0, 2, 511
15, 18, 12, 5, 0, 2, 0, 3, 514
16, 21, 9, 2, 3, 1, 0, 1, 514
17, 19, 11, 4, 2, 0, 0, 2, 514
18, 13, 17, 4, 1, 0, 1, 3, 514
19, 24, 6, 3, 2, 3, 0, 2, 514
20, 20, 10, 2, 3, 1, 0, 2, 514
21, 18, 12, 1, 3, 2, 0, 3, 514
22, 19, 11, 4, 1, 0, 1, 4, 514
23, 19, 11, 2, 3, 1, 0, 3, 513
24, 19, 11, 4, 1, 3, 0, 2, 514
25, 21, 9, 5, 0, 1, 0, 2, 513
26, 25, 5, 3, 2, 3, 0, 2, 512
27, 18, 12, 3, 1, 0, 0, 3, 514
28, 13, 17, 5, 0, 1, 8, 2, 512
29, 15, 15, 3, 1, 3, 0, 2, 514
30, 13, 17, 1, 3, 1, 8, 2, 514
31, 21, 9, 3, 1, 0, 0, 2, 514
