17131312721
0, 18, 12, 3, 1, 0, 2
1, 18, 12, 1, 2, 3, 2
2, 12, 18, 1, 1, 3, 1
3, 18, 12, 1, 3, 0, 2
4, 17, 13, 3, 1, 0, 2
5, 18, 12, 2, 2, 3, 2
6, 20, 10, 2, 1, 3, 1
7, 16, 14, 1, 3, 0, 2
8, 21, 9, 4, 1, 1, 1
9, 17, 13, 1, 3, 0, 2
10, 16, 14, 4, 2, 2, 2
11, 17, 13, 4, 2, 1, 2
12, 16, 14, 4, 1, 1, 2
13, 17, 13, 2, 3, 0, 2
14, 19, 11, 1, 3, 0, 2
15, 10, 20, 6, 0, 0, 1
16, 12, 18, 1, 3, 0, 2
17, 21, 9, 4, 1, 2, 2
18, 21, 9, 3, 2, 2, 1
19, 15, 15, 3, 2, 1, 2
20, 10, 20, 4, 1, 2, 1
21, 13, 17, 6, 0, 0, 1
22, 9, 21, 4, 2, 1, 2
23, 19, 11, 1, 3, 2, 2
24, 18, 12, 4, 1, 2, 1
25, 21, 9, 5, 0, 0, 2
26, 18, 12, 6, 0, 0, 1
27, 19, 11, 4, 2, 3, 2
28, 15, 15, 6, 0, 0, 1
29, 20, 10, 3, 1, 2, 1
30, 20, 10, 3, 2, 1, 1
31, 12, 18, 4, 2, 3, 1
