17131311771,,,,,,,,,,,,,,,,
0,1.06543,1.06543,1.07476,1.04979,1.06692,1.06692,1.06692,1.06692,0.97592,0.97592,0.979423,0.951929,0.96325,0.96325,0.96325,0.96325
1,1.06749,1.06749,1.07782,1.05372,1.06936,1.06936,1.06936,1.06936,0.975312,0.975312,0.978371,0.95081,0.962407,0.962407,0.962407,0.962407
2,1.07415,1.07415,1.08847,1.06014,1.07815,1.07815,1.07815,1.07815,0.967991,0.967991,0.973398,0.945337,0.95609,0.95609,0.95609,0.95609
3,1.0794,1.0794,1.09137,1.06346,1.08174,1.08174,1.08174,1.08174,0.979059,0.979059,0.982206,0.954353,0.965323,0.965323,0.965323,0.965323
4,1.05866,1.05866,1.07131,1.0442,1.06073,1.06073,1.06073,1.06073,0.975146,0.975146,0.979901,0.952757,0.964898,0.964898,0.964898,0.964898
5,1.07451,1.07451,1.08459,1.05732,1.0731,1.0731,1.0731,1.0731,0.980168,0.980168,0.984876,0.956128,0.969366,0.969366,0.969366,0.969366
6,1.06972,1.06972,1.07642,1.0514,1.06391,1.06391,1.06391,1.06391,0.977587,0.977587,0.981715,0.953741,0.964959,0.964959,0.964959,0.964959
7,1.07966,1.07966,1.08407,1.05972,1.07266,1.07266,1.07266,1.07266,0.97669,0.97669,0.981131,0.953766,0.962853,0.962853,0.962853,0.962853
8,1.07813,1.07813,1.07817,1.05752,1.07157,1.07157,1.07157,1.07157,0.9738,0.9738,0.978162,0.950235,0.962625,0.962625,0.962625,0.962625
9,1.08019,1.08019,1.08032,1.05947,1.07393,1.07393,1.07393,1.07393,0.97432,0.97432,0.978613,0.950445,0.961305,0.961305,0.961305,0.961305
10,1.07301,1.07301,1.07614,1.0569,1.0733,1.0733,1.0733,1.0733,0.978893,0.978893,0.982235,0.954132,0.966917,0.966917,0.966917,0.966917
11,1.07806,1.07806,1.0808,1.06275,1.07877,1.07877,1.07877,1.07877,0.981282,0.981282,0.984268,0.955715,0.967376,0.967376,0.967376,0.967376
12,1.07199,1.07199,1.07865,1.05554,1.07189,1.07189,1.07189,1.07189,0.971147,0.971147,0.9757,0.947824,0.959782,0.959782,0.959782,0.959782
13,1.07386,1.07386,1.08264,1.06006,1.07526,1.07526,1.07526,1.07526,0.979404,0.979404,0.982803,0.954587,0.966116,0.966116,0.966116,0.966116
14,1.07848,1.07848,1.08827,1.06232,1.07974,1.07974,1.07974,1.07974,0.978419,0.978419,0.981718,0.953121,0.964923,0.964923,0.964923,0.964923
15,1.07569,1.07569,1.08746,1.06172,1.07838,1.07838,1.07838,1.07838,0.977186,0.977186,0.981881,0.954419,0.965737,0.965737,0.965737,0.965737
16,1.06405,1.06405,1.07662,1.04951,1.0664,1.0664,1.0664,1.0664,0.978836,0.978836,0.983437,0.954276,0.966377,0.966377,0.966377,0.966377
17,1.0732,1.0732,1.0838,1.05562,1.07281,1.07281,1.07281,1.07281,0.972305,0.972305,0.977071,0.950371,0.96183,0.96183,0.96183,0.96183
18,1.07469,1.07469,1.07918,1.05155,1.06505,1.06505,1.06505,1.06505,0.973947,0.973947,0.978763,0.949706,0.962564,0.962564,0.962564,0.962564
19,1.07989,1.07989,1.08623,1.05924,1.07399,1.07399,1.07399,1.07399,0.976212,0.976212,0.980672,0.952247,0.965271,0.965271,0.965271,0.965271
20,1.07543,1.07543,1.07703,1.05388,1.06722,1.06722,1.06722,1.06722,0.971564,0.971564,0.975374,0.948848,0.960689,0.960689,0.960689,0.960689
21,1.08162,1.08162,1.08328,1.06042,1.0749,1.0749,1.0749,1.0749,0.977357,0.977357,0.982126,0.954417,0.966421,0.966421,0.966421,0.966421
22,1.07647,1.07647,1.07658,1.05821,1.07251,1.07251,1.07251,1.07251,0.97361,0.97361,0.977611,0.949095,0.960804,0.960804,0.960804,0.960804
23,1.07386,1.07386,1.07675,1.05772,1.07364,1.07364,1.07364,1.07364,0.978222,0.978222,0.981937,0.953626,0.96659,0.96659,0.96659,0.96659
24,1.07615,1.07615,1.08678,1.0621,1.07893,1.07893,1.07893,1.07893,0.978239,0.978239,0.981364,0.953449,0.966443,0.966443,0.966443,0.966443
25,1.07124,1.07124,1.08023,1.05658,1.07437,1.07437,1.07437,1.07437,0.974317,0.974317,0.976057,0.949193,0.959942,0.959942,0.959942,0.959942
26,1.08583,1.08583,1.09656,1.0685,1.08548,1.08548,1.08548,1.08548,0.978671,0.978671,0.982282,0.954976,0.967099,0.967099,0.967099,0.967099
27,1.06247,1.06247,1.07619,1.05047,1.06988,1.06988,1.06988,1.06988,0.979763,0.979763,0.981838,0.952584,0.964372,0.964372,0.964372,0.964372
28,1.07534,1.07534,1.08394,1.05573,1.07189,1.07189,1.07189,1.07189,0.978259,0.978259,0.982723,0.954116,0.966285,0.966285,0.966285,0.966285
29,1.07608,1.07608,1.08492,1.05601,1.07158,1.07158,1.07158,1.07158,0.978654,0.978654,0.979248,0.951182,0.961378,0.961378,0.961378,0.961378
30,1.08471,1.08471,1.08711,1.06153,1.07443,1.07443,1.07443,1.07443,0.980549,0.980549,0.984807,0.955611,0.967451,0.967451,0.967451,0.967451
31,1.07872,1.07872,1.08144,1.05634,1.06934,1.06934,1.06934,1.06934,0.980334,0.980334,0.983258,0.954403,0.966515,0.966515,0.966515,0.966515
32,1.08158,1.08158,1.08136,1.06117,1.07616,1.07616,1.07616,1.07616,0.985488,0.985488,0.989432,0.959326,0.972471,0.972471,0.972471,0.972471
