17131311562
0, 17, 13, 2, 3, 1, 1, 3, 514
1, 20, 10, 5, 0, 1, 8, 0, 514
2, 23, 7, 5, 0, 2, 1, 3, 511
3, 17, 13, 4, 1, 0, 0, 1, 514
4, 15, 15, 6, 0, 1, 0, 1, 514
5, 21, 9, 2, 3, 2, 1, 3, 512
6, 21, 9, 2, 3, 1, 0, 1, 513
7, 24, 6, 1, 3, 1, 1, 3, 514
8, 19, 11, 2, 3, 2, 1, 2, 514
9, 23, 7, 5, 0, 2, 0, 1, 514
10, 15, 15, 5, 0, 1, 0, 2, 514
11, 21, 9, 5, 0, 1, 8, 2, 514
12, 21, 9, 6, 0, 2, 8, 2, 513
13, 27, 3, 4, 2, 1, 1, 3, 513
14, 17, 13, 4, 1, 2, 0, 2, 514
15, 20, 10, 1, 3, 3, 8, 1, 514
16, 21, 9, 4, 2, 1, 1, 2, 512
17, 24, 6, 2, 3, 3, 1, 3, 514
18, 15, 15, 2, 3, 3, 0, 2, 514
19, 22, 8, 3, 1, 2, 0, 2, 514
20, 26, 4, 1, 3, 3, 1, 2, 513
21, 21, 9, 5, 0, 3, 0, 2, 514
22, 18, 12, 5, 0, 3, 1, 3, 514
23, 23, 7, 5, 0, 3, 0, 2, 510
24, 19, 11, 3, 2, 1, 1, 2, 514
25, 22, 8, 4, 2, 2, 0, 1, 514
26, 20, 10, 4, 1, 1, 8, 2, 514
27, 18, 12, 6, 2, 0, 1, 3, 514
28, 23, 7, 3, 2, 1, 0, 1, 513
29, 22, 8, 4, 2, 2, 0, 1, 513
30, 26, 4, 4, 1, 1, 8, 1, 513
31, 23, 7, 4, 1, 1, 8, 1, 513
