17131310261
0, 10, 20, 4, 0, 3, 1
1, 17, 13, 4, 0, 3, 1
2, 17, 13, 4, 0, 3, 2
3, 20, 10, 1, 1, 1, 2
4, 16, 14, 2, 2, 2, 1
5, 16, 14, 4, 0, 3, 1
6, 15, 15, 1, 1, 1, 2
7, 18, 12, 4, 2, 0, 2
8, 18, 12, 2, 2, 2, 1
9, 17, 13, 1, 2, 2, 2
10, 16, 14, 4, 2, 0, 1
11, 21, 9, 3, 2, 0, 2
12, 21, 9, 4, 1, 0, 2
13, 18, 12, 2, 2, 2, 2
14, 18, 12, 4, 2, 0, 1
15, 24, 6, 3, 2, 0, 2
16, 16, 14, 3, 1, 0, 1
17, 19, 11, 4, 1, 0, 2
18, 21, 9, 3, 2, 0, 1
19, 15, 15, 1, 1, 3, 1
20, 22, 8, 3, 1, 0, 1
21, 14, 16, 3, 1, 0, 1
22, 17, 13, 3, 2, 0, 1
23, 25, 5, 1, 1, 3, 1
24, 18, 12, 1, 2, 3, 1
25, 17, 13, 3, 1, 0, 1
26, 21, 9, 2, 1, 3, 2
27, 18, 12, 4, 2, 2, 1
28, 21, 9, 1, 2, 3, 1
29, 9, 21, 3, 1, 0, 1
30, 18, 12, 2, 1, 3, 1
31, 13, 17, 4, 2, 2, 1
