17131310432
0, 20, 10, 1, 2, 2, 2
1, 17, 13, 3, 1, 0, 1
2, 13, 17, 4, 2, 0, 2
3, 17, 13, 3, 2, 0, 2
4, 18, 12, 4, 1, 0, 2
5, 12, 18, 3, 1, 0, 1
6, 18, 12, 1, 1, 3, 2
7, 17, 13, 3, 2, 0, 2
8, 21, 9, 3, 1, 0, 1
9, 18, 12, 2, 2, 3, 2
10, 17, 13, 1, 1, 3, 1
11, 10, 20, 2, 1, 3, 2
12, 21, 9, 3, 1, 0, 1
13, 21, 9, 1, 3, 0, 1
14, 17, 13, 4, 2, 2, 2
15, 17, 13, 4, 2, 2, 1
16, 22, 8, 1, 2, 3, 2
17, 18, 12, 1, 3, 0, 2
18, 23, 7, 2, 3, 0, 2
19, 21, 9, 1, 3, 0, 1
20, 24, 6, 4, 1, 1, 2
21, 19, 11, 3, 1, 1, 1
22, 13, 17, 3, 2, 2, 1
23, 17, 13, 2, 3, 0, 1
24, 15, 15, 1, 3, 0, 2
25, 25, 5, 2, 3, 0, 1
26, 17, 13, 4, 2, 1, 2
27, 18, 12, 4, 2, 1, 2
28, 19, 11, 1, 3, 0, 2
29, 21, 9, 4, 1, 2, 1
30, 23, 7, 4, 2, 1, 1
31, 19, 11, 6, 0, 0, 1
